annotation_id	type	meta	char_range
805	gap	{"reason": "unintelligible"}	[88376,88377)
806	gap	{"reason": "unintelligible"}	[88413,88414)
807	gap	{"reason": "unintelligible"}	[88490,88491)
808	gap	{"reason": "unintelligible"}	[88500,88501)
809	pause	{}	[88513,88514)
810	pause	{}	[88535,88536)
811	gap	{"reason": "unintelligible"}	[88543,88544)
812	gap	{"reason": "unintelligible"}	[88544,88545)
813	gap	{"reason": "unintelligible"}	[88586,88587)
814	pause	{}	[88627,88628)
815	gap	{"reason": "unintelligible"}	[88628,88629)
816	pause	{}	[88629,88630)
817	pause	{}	[88716,88717)
818	pause	{}	[88742,88743)
819	pause	{}	[89059,89060)
820	pause	{}	[89204,89205)
821	pause	{}	[89282,89283)
822	pause	{}	[89350,89351)
823	pause	{}	[89505,89506)
824	gap	{"reason": "unintelligible"}	[89541,89542)
825	pause	{}	[89558,89559)
826	pause	{}	[89581,89582)
827	pause	{}	[89598,89599)
828	pause	{}	[89653,89654)
829	pause	{}	[89765,89766)
830	gap	{"reason": "unintelligible"}	[89771,89772)
831	pause	{}	[89783,89784)
832	pause	{}	[89822,89823)
833	pause	{}	[89829,89830)
834	pause	{}	[89866,89867)
835	pause	{}	[89918,89919)
836	pause	{}	[89921,89922)
837	gap	{"reason": "unintelligible"}	[89977,89978)
838	pause	{}	[89984,89985)
839	gap	{"reason": "unintelligible"}	[89985,89986)
840	pause	{}	[90008,90009)
841	gap	{"reason": "unintelligible"}	[90017,90018)
842	pause	{}	[90023,90024)
843	pause	{}	[90051,90052)
844	pause	{}	[90097,90098)
845	pause	{}	[90104,90105)
846	gap	{"reason": "unintelligible"}	[90227,90228)
847	pause	{}	[90231,90232)
848	pause	{}	[90296,90297)
849	pause	{}	[90309,90310)
850	pause	{}	[90328,90329)
851	pause	{}	[90331,90332)
852	pause	{}	[90353,90354)
853	pause	{}	[90365,90366)
854	pause	{}	[90404,90405)
855	pause	{}	[90413,90414)
856	gap	{"reason": "unintelligible"}	[90458,90459)
857	pause	{}	[90567,90568)
858	gap	{"reason": "unintelligible"}	[90590,90591)
859	pause	{}	[90704,90705)
860	pause	{}	[90721,90722)
861	gap	{"reason": "unintelligible"}	[90846,90847)
862	pause	{}	[90854,90855)
