form_id	form
1451	bizli
1452	euter
1453	plezlich
1454	glòübi
1455	aine
1456	flüeler
1457	tiaater
1458	mitgmacht
1459	koschtüm
1460	schpiler
1461	altem
1462	meglichscht
1463	gchoschtet
1464	ainedriissg
1465	jar
1466	lang
1467	v/
1468	vergäbe
1469	presidänt
1470	tiaatergselschaft
1471	kaiser
1472	joseff
1473	gredt
1474	zanarzt
1475	schon
1476	besser
1477	verzelt
1478	schwarz
1479	mezge
1480	irgendwoo
1481	chalb
1482	gchòüfft
1483	sui
1484	muil
1485	ver/
1486	thaa
1487	ghisse
1488	naachbuire
1489	tüegid
1490	schlachte
1491	derna
1492	goge
1493	anehaa
1494	meebessere
1495	arme
1496	tiifle
1497	schw/
1498	sìch
1499	nachegmacht
1500	amschtaad
1501	nät
1502	under
1503	anderem
1504	schtudänt
1505	anwalt
1506	schtänderaat
1507	koleegi
1508	tèrffen
1509	poschtòüto
1510	wass
1511	esone
1512	sone
1513	buss
1514	taile
1515	glängt
1516	sälbverschtäntlich
1517	richte
1518	unniz
1519	uisggää
1520	usere
1521	usem
1522	gläbt
1523	schom/
1524	doozmal
1525	gmezget
1526	verzeut
1527	händs
1528	alle
1529	wolke
1530	ghiit
1531	hischtoorisch
1532	jè
1533	chund
1534	lose
1535	jungi
1536	schüeler
1537	maingot
1538	chansch
1539	nu
1540	tänke
1541	sigisch
1542	thiaater
1543	duezmal
1544	ziitige
1545	uberhòüpt
1546	mìr
1547	schmaal
1548	ziise
1549	aaschaffe
1550	uislegge
1551	güet
1552	zalt
1553	ubercho
1554	denen
1555	ggä
1556	gänds
1557	zersch
1558	drum
1559	druifglait
1560	liiber
1561	wome
1562	hèrt
1563	vorhär
1564	marsch
1565	musig
1566	ghört
1567	ghert
1568	usbr/
1569	platten
1570	genòü
1571	amigs
1572	naachrichte
1573	gloost
1574	haubs
1575	zit
1576	uralte
1577	chopfhöörer
1578	òu
1579	jeeregot
1580	hinne
1581	voore
1582	sorg
1583	jeeches
1584	läbed
1585	eze
1586	verdunklig
1587	dornhag
1588	hag
1589	truit
1590	schöö
1591	gä/
1592	iinaame
1593	taigg
1594	andersch
1595	chumen
1596	halbizwöfi
1597	dììch
1598	hole
1599	motoorraad
1600	töff
1601	gholt
1602	erliechterig
1603	hailòüffe
1604	hetmer
1605	gfurcht
1606	flüügeralarm
1607	uirlòüb
1608	dusse
1609	maischtens
1610	rekruute
1611	soldaate
1612	rekrutteschüeler
1613	lüütnäntli
1614	abverdienet
1615	umggange
1616	èrès
1617	naher
1618	waarschinli
1619	aggtiifdienscht
1620	nochher
1621	fèrtig
1622	sinds
